City,Latitude,Longitude,Country,Continent,Population (2024),Population (2023),Growth Rate,Growth Rate (%)
Guigang,23.1130599,109.59764,China,Asia,990310,967428,0.02365240617,2.37
Fort Worth,32.7554883,-97.3307658,United States,North America,989842,973275,0.01702191056,1.7
Najaf,32.0316216,44.3218899,Iraq,Asia,987814,958487,0.03059718077,3.06
Bangui,4.362156,18.5827765,Central African Republic,Africa,985965,958335,0.02883125421,2.88
Rajshahi,24.3746497,88.6003665,Bangladesh,Asia,983707,961991,0.02257401577,2.26
Hengshui,37.7388599,115.67054,China,Asia,983694,955663,0.02933146936,2.93
Austin,30.267153,-97.7430608,United States,North America,983126,978786,0.004434064239,0.44
Jerusalem,31.7768831,35.2224346,Israel,Asia,983097,969804,0.01370689335,1.37
Zhangzhou,24.5134699,117.64725,China,Asia,980054,955519,0.02567714509,2.57
Xinyu,27.8177599,114.91713,China,Asia,979303,952278,0.0283793178,2.84
Linfen,36.0882199,111.51962,China,Asia,978614,951822,0.02814812013,2.81
Tianmen,30.6633899,113.16614,China,Asia,978317,953768,0.02573896377,2.57
Ciudad Guayana,8.3663119,-62.6496813,Venezuela,South America,978202,964266,0.01445244362,1.45
Zamboanga City,6.9043673,122.0761226,Philippines,Asia,977081,960349,0.01742283274,1.74
Yangjiang,21.8582899,111.98256,China,Asia,976606,956079,0.02146998313,2.15
Taiz,13.5775886,44.0177989,Yemen,Asia,974518,940600,0.03605996173,3.61
Cucuta,7.8890971,-72.4966896,Colombia,South America,972485,963045,0.009802241847,0.98
Arequipa,-16.4057001,-71.5400994,Peru,South America,971296,958998,0.01282380151,1.28
Liling,27.6461699,113.49703,China,Asia,970907,936997,0.03619008385,3.62
Antipolo,14.5846541,121.1757096,Philippines,Asia,968288,946653,0.02285420318,2.29
Veracruz,19.173773,-96.1342241,Mexico,North America,968070,955226,0.01344603267,1.34
Reynosa,26.0915309,-98.2777687,Mexico,North America,967627,951417,0.01703774475,1.7
Khulna,22.8373287,89.5400472,Bangladesh,Asia,965483,955104,0.01086687942,1.09
Deyang,31.1267899,104.3979,China,Asia,963160,939166,0.02554819915,2.55
Pathum Thani,14.0033913,100.6647101,Thailand,Asia,962126,950048,0.01271304187,1.27
Bengbu,32.9154799,117.38932,China,Asia,959784,944465,0.01621976463,1.62
Jiangyin,31.9191899,120.28432,China,Asia,959250,933395,0.02769995554,2.77
Southampton,50.9105468,-1.4049018,United Kingdom,Europe,959202,951531,0.008061744704,0.81
Villahermosa,17.989456,-92.9475061,Mexico,North America,958118,943530,0.01546108762,1.55
Baishan,41.9440999,126.41433,China,Asia,956976,927532,0.03174445733,3.17
Nice,43.7101728,7.2619532,France,Europe,951808,948149,0.003859098095,0.39
